Pulsar,Model,Min freq (MHz),S150 (mJy),S300 (mJy),u_S150 (mJy),u_S300 (mJy)
J1615-2940,SPL,350.0,30.075145289121995,6.827628789538229,39.73941877849334,2.583374037148369
J1615-5537,SPL,400.0,92.61018699979734,21.970188518224443,60.37757534844869,9.81737958387034
J1622-4802,SPL,1277.28,9.716567373030998,4.520696956032071,5.546326067380115,1.7748864693172612
J1623-4256,SPL,400.0,104.52588585902647,32.78755694418836,72.05207208558524,15.506590556912435
J1624-4411,SPL,1277.17,13.154051640145925,4.712840966061452,28.24474066466941,6.948898302031552
J1626-4537,SPL,728.0,28.60804245105539,9.869935262108184,17.081990897336077,4.051598032529317
J1627-4706,SPL,1360.0,3.3679075550656745,1.3403871037763608,1.4464134321833877,0.4173597401044678
J1627-4845,SPL,1277.56,8.286109787233586,3.659988725240208,23.81155171995289,7.22414204891694
J1627-5547,SPL,1342.75,75.82449005466692,16.913104175693025,103.04559664921538,15.863610480091388
J1628-4804,SPL,1274.9,50.60509129977817,15.670857116916316,87.3304052740634,18.57262408094585
J1630-4733,SPL,1360.0,7.068232726380115,5.973029764937084,4.4748522172378,2.8004053124730377
J1632-4621,SPL,1278.75,60.17811719375872,16.12185764282461,24.862796146950767,4.598921762735008
J1632-4757,SPL,1360.0,5.800452275259314,2.6763152297607715,2.1238691691270954,0.7322612877184543
J1632-4818,SPL,1360.0,29.12688626454569,7.921001346057426,11.76670735679039,2.3779287860876352
J1633-4453,SPL,640.0,68.88743250093216,25.08305617772228,85.99410919070168,21.47124335649833
J1636-4803,SPL,1278.75,177.0630113588939,42.64592670332935,73.7500051276576,12.255804551272425
J1636-4933,SPL,1277.31,3098.8319875144257,204.91586004840272,8699.240166776,395.5182824864669
J1637-4553,SPL,400.0,30.989845566241637,11.356935783301228,10.442541396939871,2.8347191253360378
J1637-4642,SPL,1360.0,3.759526461536315,2.398371142907874,1.2582783369581128,0.5903622657703204
J1637-4721,SPL,1277.19,141.80908015509428,27.04414910054988,289.6027920167683,37.91703691530554
J1638-3815,SPL,350.0,2.3811875994230665,1.6091663794719933,1.0284757166470226,0.4768520854520491
J1638-4417,SPL,1360.0,14.63012295005423,4.248936436820005,18.04983857242185,3.632954352056381
J1638-4608,SPL,1360.0,14.796412651240978,4.903538281251533,5.52612197918874,1.3197491153618042
J1638-5226,SPL,1277.39,106.10113803218626,21.25589654402545,147.6672532192422,20.27357019628182
J1639-4604,SPL,400.0,161.28606467323746,31.8000954985742,94.83239149176708,13.03004665058811
J1640-4715,SPL,728.0,19.086936396085378,8.619101823827881,6.3009321890915295,2.112273465770951
J1643-4505,SPL,1360.0,1.743265792945425,1.1364402617884677,0.6404917623949069,0.3007572994566582
J1646-4346,SPL,1360.0,25.40701519654788,9.72918722750259,13.275486280914782,3.67853628768758
J1646-6831,SPL,400.0,93.72343222751287,34.86840285193832,52.684586896378775,12.418253775984953
J1648-4458,SPL,1276.91,57.95267025215431,13.467438477676543,196.1182471290521,31.315307416093237
J1648-4611,SPL,1360.0,1.2813769399737267,1.013089290170273,0.4401174420935021,0.2527616738269521
J1649-3805,SPL,1277.14,200.12011294242325,41.28566469271157,229.70522697214173,32.49209489022732
J1649-4653,SPL,1277.32,5.213113533099079,2.2295299913190534,1.8630177254026687,0.5671246216158066
J1650-4502,SPL,1360.0,4.192339959722429,2.233863484561661,2.3262333972952627,0.8933545263231223
J1651-5222,SPL,400.0,230.213457161031,61.66412680001851,140.02292385923218,25.459559263071863
J1652-2404,SPL,350.0,44.96171157668161,15.25598745762786,6.482706875793132,1.5056109061518788
J1653-3838,SPL,640.0,7.558790728643758,4.530574801339343,5.478454520998703,2.2866565088521287
J1654-2713,SPL,350.0,15.8192160405751,4.463720080455525,6.113732487475298,1.0421607362571117
J1658-4958,SPL,728.0,320.2824932332415,62.684849590497926,164.96570821983377,22.078537619248305
J1659-4439,SPL,1277.25,4.527441849514,2.1886652594471507,10.607327610657364,3.525632615051792
J1700-3312,SPL,350.0,16.113026309872627,7.113640773830146,4.152157559855958,1.2243769358591747
J1700-3611,HFCO,350.0,4.113777040416446,3.3565490453571063,1.967374635017803,1.0110126183397643
J1701-3726,SPL,640.0,471.3868299150077,100.5953331392776,278.522615607675,38.63521022755284
J1701-4533,SPL,640.0,57.70063758051541,20.84241683064677,21.962129409868727,5.650043548321412
J1702-4128,SPL,1360.0,2.5011125944765684,1.974533664359227,0.7148182906789248,0.4201677634543425
J1702-4217,SPL,1276.88,40.66360960416983,13.446610148251972,131.47572622357657,29.89216845095857
J1702-4310,SPL,1360.0,6.206151219035498,3.3450349862439728,4.573088867703535,1.741279196827827
J1703-4851,SPL,436.0,275.151590774889,50.05054916368365,196.8182223462545,23.78702184963557
J1707-4341,SPL,1342.75,22.75645118595896,7.095790946484767,41.9561203125645,9.054081795081032
